measurement_run_id,regulation_id,regulation_code,regulation_name,legacy_status,legacy_reason_code,document_sha256,source_url,http_status,content_type,content_length,download_status,magic_verified,detected_format,extraction_status,parser_name,parser_version,alternate_url_count,same_sha_alternate_url_count,same_post_pdf_available,notice_evidence_status,official_source_evidence_status
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,a62b52a77a5e92da,개인기여도평가기준,EXTRACTION_PENDING,EXTRACTION_PENDING,52f34b70ed3be66cfb26e367559048bd7a842aed8de71efef497fddd80ed37df,https://www.alio.go.kr/download/rulefiledown.json?fileNo=12165,200,application/haansofthwp;charset=utf-8,19968,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,UNKNOWN,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,8cf179ba91022a4b,겸직관리 운영기준,EXTRACTION_PENDING,EXTRACTION_PENDING,4934f723733157fa45c4c147bfee719b5c82eb8fde430f016b84c2883486cc63,https://www.alio.go.kr/download/rulefiledown.json?fileNo=219732,200,application/haansofthwp;charset=utf-8,79872,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,933b4c8ee0c43575,경비기준,EXTRACTION_PENDING,EXTRACTION_PENDING,03d0747ea464d4fbc5295049ddf3f9ff80b7a29716cf4be4e374055481264ec0,https://www.alio.go.kr/download/rulefiledown.json?fileNo=225261,200,application/haansofthwp;charset=utf-8,79360,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,ea4a7a723bc61539,경영자문요령,EXTRACTION_PENDING,EXTRACTION_PENDING,efa2980fc9c56957eea3228d4fda9e29690b592b829644b58e7c32771ce7c358,https://www.alio.go.kr/download/rulefiledown.json?fileNo=11991,200,application/haansofthwp;charset=utf-8,12800,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,UNKNOWN,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,e75ff1896e1f441d,경영지도요령,EXTRACTION_PENDING,EXTRACTION_PENDING,721498fbe34723e1f714a6bdebbffd1fd66731a8b89e9d41b1c12a2fa5465fb5,https://www.alio.go.kr/download/rulefiledown.json?fileNo=182069,200,application/haansofthwp;charset=utf-8,60928,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,f5a9608380b9c04c,계약요령,EXTRACTION_PENDING,EXTRACTION_PENDING,e3c533ffd123acffc39116c76f2f70751e2b191019314b53f8000874f508f81a,https://www.alio.go.kr/download/rulefiledown.json?fileNo=208804,200,application/haansofthwp;charset=utf-8,235008,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,112bc33f19c7ec41,고용창출기업에 대한 보증프로그램 운용기준,EXTRACTION_PENDING,EXTRACTION_PENDING,a61758c6f6ecaf4e650edfe56380dd679e56ef8758cd91698d29cceef836da02,https://www.alio.go.kr/download/rulefiledown.json?fileNo=239075,200,application/haansofthwp;charset=utf-8,171008,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,3309fd33e8289f3b,공공기관 정상화 비상대책위원회 운영 요령,EXTRACTION_PENDING,EXTRACTION_PENDING,3a92cdd444241d9c6afece4683a34cd32e195da615a303839a2be9514061ddb6,https://www.alio.go.kr/download/rulefiledown.json?fileNo=11993,200,application/haansofthwp;charset=utf-8,23040,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,UNKNOWN,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,bcdda7319b40692f,공동 프로젝트 보증 업무처리방법,EXTRACTION_PENDING,EXTRACTION_PENDING,44c0befd6fce0bcfdfeb0710063425a0f4a211f63cb00c96f3d4748c321e07f1,https://www.alio.go.kr/download/rulefiledown.json?fileNo=239113,200,application/haansofthwp;charset=utf-8,471552,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
ccdee57b-1a7d-4aa9-ace5-a64671ec5e3a,,a2aba7fde3ea0559,공무국외여행 운영기준,EXTRACTION_PENDING,EXTRACTION_PENDING,beca7fe25a96f13fcc3891efbabac73410a2643b721c5b14cd4c94e3c73b0c02,https://www.alio.go.kr/download/rulefiledown.json?fileNo=229866,200,application/haansofthwp;charset=utf-8,66048,DOWNLOADED,UNKNOWN,hwp,ole_error:AttributeError,UNKNOWN,UNKNOWN,0,0,FALSE,VERIFIED_EXISTS,VERIFIED_EXISTS
